Date,Winning Numbers,Winning Numbers
"Thu, Dec 31, 1992",['\n\n05\n10\n12\n19\n24\n25\n32\n33\n35\n43\n47\n56\n58\n60\n63\n66\n68\n71\n74\n76\n\n'],"   05 10 12 19 24 
   25 32 33 35 43 
   47 56 58 60 63 
   66 68 71 74 76   "
"Wed, Dec 30, 1992",['\n\n08\n09\n35\n36\n39\n40\n45\n48\n50\n57\n58\n60\n61\n62\n63\n66\n70\n72\n75\n78\n\n'],   08 09 35 36 39 40 45 48 50 57 58 60 61 62 63 66 70 72 75 78   
"Tue, Dec 29, 1992",['\n\n02\n03\n04\n05\n13\n20\n23\n25\n28\n30\n44\n45\n47\n48\n51\n52\n56\n71\n75\n76\n\n'],   02 03 04 05 13 20 23 25 28 30 44 45 47 48 51 52 56 71 75 76   
"Mon, Dec 28, 1992",['\n\n04\n06\n08\n10\n12\n14\n20\n27\n40\n41\n43\n53\n56\n61\n62\n65\n68\n70\n71\n78\n\n'],   04 06 08 10 12 14 20 27 40 41 43 53 56 61 62 65 68 70 71 78   
"Sun, Dec 27, 1992",['\n\n01\n02\n03\n08\n13\n19\n21\n26\n28\n31\n38\n39\n43\n47\n49\n56\n64\n67\n77\n78\n\n'],   01 02 03 08 13 19 21 26 28 31 38 39 43 47 49 56 64 67 77 78   
"Sat, Dec 26, 1992",['\n\n03\n05\n11\n14\n19\n22\n32\n38\n39\n43\n46\n51\n52\n54\n64\n70\n71\n75\n78\n79\n\n'],   03 05 11 14 19 22 32 38 39 43 46 51 52 54 64 70 71 75 78 79   
"Thu, Dec 24, 1992",['\n\n02\n03\n07\n13\n14\n20\n31\n42\n45\n47\n48\n57\n59\n60\n66\n71\n74\n77\n78\n79\n\n'],   02 03 07 13 14 20 31 42 45 47 48 57 59 60 66 71 74 77 78 79   
"Wed, Dec 23, 1992",['\n\n01\n04\n05\n12\n23\n26\n27\n38\n41\n44\n50\n52\n57\n61\n62\n65\n66\n71\n74\n77\n\n'],   01 04 05 12 23 26 27 38 41 44 50 52 57 61 62 65 66 71 74 77   
"Tue, Dec 22, 1992",['\n\n03\n05\n07\n08\n09\n16\n24\n25\n32\n33\n37\n43\n45\n51\n58\n59\n66\n67\n71\n74\n\n'],   03 05 07 08 09 16 24 25 32 33 37 43 45 51 58 59 66 67 71 74   
"Mon, Dec 21, 1992",['\n\n01\n11\n12\n19\n23\n24\n27\n32\n35\n39\n42\n49\n50\n51\n66\n69\n71\n72\n73\n79\n\n'],   01 11 12 19 23 24 27 32 35 39 42 49 50 51 66 69 71 72 73 79   
"Sun, Dec 20, 1992",['\n\n01\n03\n04\n13\n15\n16\n20\n21\n22\n33\n37\n52\n53\n54\n58\n63\n65\n74\n75\n78\n\n'],   01 03 04 13 15 16 20 21 22 33 37 52 53 54 58 63 65 74 75 78   
"Sat, Dec 19, 1992",['\n\n02\n04\n06\n10\n16\n17\n19\n20\n22\n27\n31\n36\n43\n46\n52\n58\n59\n63\n69\n75\n\n'],   02 04 06 10 16 17 19 20 22 27 31 36 43 46 52 58 59 63 69 75   
"Fri, Dec 18, 1992",['\n\n12\n20\n21\n22\n24\n32\n33\n38\n41\n45\n48\n53\n54\n57\n60\n64\n68\n70\n72\n78\n\n'],   12 20 21 22 24 32 33 38 41 45 48 53 54 57 60 64 68 70 72 78   
"Thu, Dec 17, 1992",['\n\n01\n04\n05\n13\n16\n18\n20\n23\n25\n27\n32\n34\n37\n39\n43\n48\n51\n54\n74\n80\n\n'],   01 04 05 13 16 18 20 23 25 27 32 34 37 39 43 48 51 54 74 80   
"Wed, Dec 16, 1992",['\n\n04\n05\n06\n07\n09\n11\n12\n15\n23\n24\n30\n32\n33\n37\n42\n46\n50\n52\n66\n80\n\n'],   04 05 06 07 09 11 12 15 23 24 30 32 33 37 42 46 50 52 66 80   
"Tue, Dec 15, 1992",['\n\n01\n02\n04\n09\n12\n16\n19\n26\n41\n42\n44\n45\n48\n49\n51\n62\n70\n71\n74\n80\n\n'],   01 02 04 09 12 16 19 26 41 42 44 45 48 49 51 62 70 71 74 80   
"Mon, Dec 14, 1992",['\n\n04\n06\n12\n15\n16\n19\n20\n21\n22\n26\n32\n35\n42\n47\n50\n54\n56\n68\n77\n79\n\n'],   04 06 12 15 16 19 20 21 22 26 32 35 42 47 50 54 56 68 77 79   
"Sun, Dec 13, 1992",['\n\n02\n04\n14\n17\n19\n30\n32\n33\n34\n37\n39\n40\n56\n58\n61\n62\n66\n76\n77\n79\n\n'],   02 04 14 17 19 30 32 33 34 37 39 40 56 58 61 62 66 76 77 79   
"Sat, Dec 12, 1992",['\n\n01\n13\n14\n15\n18\n20\n25\n32\n34\n35\n36\n37\n38\n40\n42\n45\n48\n50\n61\n67\n\n'],   01 13 14 15 18 20 25 32 34 35 36 37 38 40 42 45 48 50 61 67   
"Fri, Dec 11, 1992",['\n\n06\n10\n20\n27\n37\n39\n45\n46\n51\n60\n61\n62\n67\n72\n73\n74\n75\n76\n77\n79\n\n'],   06 10 20 27 37 39 45 46 51 60 61 62 67 72 73 74 75 76 77 79   
